amplitude,linelength,compensate,who
180,30,14,Heike
180,26,12,Heike
180,20,9,Heike
180,16,6,Heike
150,30,14,Heike
150,26,11,Heike
150,20,10,Heike
150,16,7,Heike
120,30,9,Heike
120,26,8,Heike
120,20,7,Heike
120,16,6,Heike
10,14,0,Susan
20,14,0,Susan
30,14,0,Susan
40,14,1,Susan
50,14,1,Susan
60,14,1,Susan
70,14,2,Susan
80,14,2,Susan
90,14,2,Susan
100,14,2,Susan
110,14,2,Susan
120,14,3,Susan
130,14,3,Susan
140,14,2,Susan
150,14,3,Susan
160,14,4,Susan
170,14,4,Susan
170,14,6,Susan
180,14,6,Susan
180,14,5,Susan
190,14,7,Susan
190,14,6,Susan
200,20,15,Susan
190,20,6,Susan
190,20,13,Susan
180,20,7,Susan
170,20,7,Susan
160,20,6,Susan
150,20,6,Susan
140,20,5,Susan
130,20,6,Susan
120,20,6,Susan
110,20,5,Susan
100,20,4,Susan
90,20,5,Susan
80,20,5,Susan
70,20,4,Susan
60,20,3,Susan
50,20,3,Susan
40,20,2,Susan
30,20,1,Susan
20,20,0,Susan
10,20,0,Susan
10,26,0,Susan
20,26,0,Susan
30,26,1,Susan
40,26,1,Susan
50,26,2,Susan
60,26,3,Susan
70,26,3,Susan
80,26,5,Susan
90,26,6,Susan
100,26,6,Susan
110,26,7,Susan
120,26,7,Susan
130,26,8,Susan
140,26,9,Susan
150,26,10,Susan
160,26,12,Susan
170,26,12,Susan
180,26,14,Susan
190,26,17,Susan
190,26,16,Susan
190,30,17,Susan
200,1,0,Susan
190,1,0,Susan
180,1,0,Susan
170,1,0,Susan
160,1,0,Susan
150,1,0,Susan
140,1,0,Susan
130,1,0,Susan
120,1,0,Susan
110,1,0,Susan
100,1,0,Susan
90,1,0,Susan
80,1,0,Susan
70,1,0,Susan
60,1,0,Susan
50,1,0,Susan
40,1,0,Susan
30,1,0,Susan
20,1,0,Susan
10,1,0,Susan
200,10,0,Susan
190,10,0,Susan
180,10,0,Susan
170,10,0,Susan
160,10,0,Susan
150,10,0,Susan
140,10,0,Susan
130,10,0,Susan
120,10,0,Susan
110,10,0,Susan
100,10,0,Susan
90,10,0,Susan
80,10,0,Susan
70,10,0,Susan
60,10,0,Susan
50,10,0,Susan
40,10,0,Susan
30,10,0,Susan
20,10,0,Susan
10,10,0,Susan
10,20,0,Susan
20,20,0,Susan
30,20,1,Susan
40,20,2,Susan
50,20,3,Susan
60,20,4,Susan
70,20,5,Susan
80,20,5,Susan
90,20,6,Susan
100,20,6,Susan
110,20,6,Susan
120,20,6,Susan
130,20,7,Susan
140,20,7,Susan
150,20,7,Susan
160,20,8,Susan
170,20,8,Susan
180,20,9,Susan
190,20,10,Susan
200,20,11,Susan
10,30,0,Susan
20,30,0,Susan
30,30,1,Susan
40,30,3,Susan
50,30,4,Susan
60,30,4,Susan
70,30,5,Susan
80,30,6,Susan
90,30,7,Susan
100,30,9,Susan
110,30,11,Susan
120,30,12,Susan
130,30,13,Susan
140,30,14,Susan
150,30,15,Susan
160,30,15,Susan
170,30,17,Susan
180,30,19,Susan
190,30,19,Susan
200,30,20,Susan
10,40,0,Susan
20,40,0,Susan
30,40,1,Susan
40,40,3,Susan
50,40,5,Susan
60,40,7,Susan
70,40,8,Susan
80,40,9,Susan
90,40,11,Susan
100,40,12,Susan
110,40,13,Susan
120,40,14,Susan
130,40,16,Susan
140,40,18,Susan
150,40,20,Susan
10,50,0,Susan
20,50,0,Susan
30,50,2,Susan
40,50,4,Susan
50,50,6,Susan
60,50,9,Susan
70,50,12,Susan
80,50,14,Susan
90,50,16,Susan
100,50,20,Susan
