"time","sd","avg","month"
1980-01-01,425.933992161572,1345.58762886598,1
1981-01-01,448.188858096595,1403.32291666667,2
1982-01-01,443.899395904309,1192.75,3
1983-01-01,453.002333664795,1263.1935483871,4
1984-01-01,493.832362772965,1314.30208333333,5
1985-01-01,479.198205385614,1082.12631578947,6
1986-01-01,433.419392929077,1609.31914893617,7
1987-01-01,421.436358209126,1250.63440860215,8
1988-01-01,479.041612700315,1197.34782608696,9
1989-01-01,424.791632881134,1362.93617021277,10
1990-01-01,389.083358085994,1446.84375,11
1991-01-01,466.800962388513,1267.09375,12
1992-01-01,433.427040633221,1243.97894736842,1
1993-01-01,441.576154120688,1228.98947368421,2
1994-01-01,534.321823461502,1374.68085106383,3
1995-01-01,395.008079236087,1257.34065934066,4
1996-01-01,481.861125477215,1413.35106382979,5
1997-01-01,446.905046373843,1255.94444444444,6
1998-01-01,389.295317599788,1353.72727272727,7
1999-01-01,462.472220713132,1456.38888888889,8
2000-01-01,449.813682226262,1421.69230769231,9
2001-01-01,410.975106282309,1164.47826086957,10
2002-01-01,398.091044928866,1345.11956521739,11
2003-01-01,567.554569964546,1500.36666666667,12
2004-01-01,392.409149522886,1268.02325581395,1
2005-01-01,419.93523443355,1311.53571428571,2
2006-01-01,401.580434043841,1512.63953488372,3
2007-01-01,414.178975073111,1249.98837209302,4
2008-01-01,403.436914738155,1111.19512195122,5
2009-01-01,452.884248096151,1351.83116883117,6
2010-01-01,449.994854910968,1124.80519480519,7
2011-01-01,455.056153772718,1240.49382716049,8
2012-01-01,386.986336170563,1531.02469135802,9
1980-02-01,475.526483172832,1512.05050505051,10
1981-02-01,422.275200893482,1655.0404040404,11
1982-02-01,465.382124379998,1513.64948453608,12
1983-02-01,367.414723515355,1467.49494949495,1
1984-02-01,387.489491386606,1638.17894736842,2
1985-02-01,483.863959669415,1423.42105263158,3
1986-02-01,407.430068893625,1674.17021276596,4
1987-02-01,412.967596616566,1541.78125,5
1988-02-01,480.673477097346,1709.48387096774,6
1989-02-01,545.380224279436,1395.89583333333,7
1990-02-01,436.062955839827,1538.05263157895,8
1991-02-01,426.120947820044,1846.96875,9
1992-02-01,378.569127242142,1680.42708333333,10
1993-02-01,444.698922419533,1363.11224489796,11
1994-02-01,418.933205515021,1481.72631578947,12
1995-02-01,433.173713052656,1722.86458333333,1
1996-02-01,432.723746078776,1664.69565217391,2
1997-02-01,416.907911180469,1570.65591397849,3
1998-02-01,390.451576968967,1351.75555555556,4
1999-02-01,449.820111612131,1632.87368421053,5
2000-02-01,412.706085426326,1670.19565217391,6
2001-02-01,414.717563292623,1437.5,7
2002-02-01,445.161337550022,1630.54255319149,8
2003-02-01,421.618655379503,1466.32183908046,9
2004-02-01,390.29111833093,1324.95505617978,10
2005-02-01,364.328778512292,1520.08791208791,11
2006-02-01,480.344627132486,1590.43181818182,12
2007-02-01,438.83317865304,1459.48837209302,1
2008-02-01,430.108527169177,1456.61627906977,2
2009-02-01,377.19795372761,1509,3
2010-02-01,482.271353150506,1235.0125,4
2011-02-01,407.678568797711,1411.34939759036,5
2012-02-01,388.663115774177,1560.7125,6
1980-03-01,409.413255931342,1710.74226804124,7
1981-03-01,390.594114280931,1785.52525252525,8
1982-03-01,432.882280355341,1781.48484848485,9
1983-03-01,390.667306831776,1672.44791666667,10
1984-03-01,449.55500109904,1966.71875,11
1985-03-01,437.484624717831,1817.76842105263,12
1986-03-01,402.465962046815,2074.65957446808,1
1987-03-01,401.648356223496,1830.98924731183,2
1988-03-01,426.870148337318,2021.48936170213,3
1989-03-01,490.481572480969,1997.36734693878,4
1990-03-01,417.429426223395,1960.85416666667,5
1991-03-01,439.873383492385,1674.21052631579,6
1992-03-01,346.685567129842,1864.45833333333,7
