"","iphash","fingerprint","ipid","q","skip","type","ntrials","startweight","endweight","modeweight","len","unique.weights","time.trial","training","post.training","fingerid"
"1","014b1445de73012cf64076c8ee3fec1d","07883685097d9b8abdfa7387cab7a692","99.250.17",0,0,"x",2,0.0999999999999996,0.0999999999999996,0.0999999999999996,5,3,18,TRUE,FALSE,6
"2","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",0,0,"x",16,0,0.2,0,3,3,9,TRUE,FALSE,73
"3","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",1,0,"y",16,0.0999999999999996,0,0,6,4,49,TRUE,FALSE,73
"4","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",2,0,"y",16,-0.25,0.0999999999999996,-0.25,5,4,19,FALSE,TRUE,73
"5","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",3,0,"y",16,1,0.8,1,11,8,43,FALSE,TRUE,73
"6","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",5,0,"x",16,0,-0.75,0,4,4,1.08333333333333,FALSE,TRUE,73
"7","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",7,0,"y",16,0.575,0.65,0.575,6,5,22,FALSE,TRUE,73
"8","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",10,0,"x",16,0.35,0.4,0.35,4,3,19,FALSE,TRUE,73
"9","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",11,0,"y",16,0.75,0.675,0.75,12,5,39,FALSE,TRUE,73
"10","02fa6fe70107e0a9974f3e9502ee0a94","9c1d8870d1e854ca55b385a84630a5a0","72.68.1",0,0,"y",2,0.0999999999999996,0.2,0.2,16,12,39,FALSE,FALSE,137
"11","02fa6fe70107e0a9974f3e9502ee0a94","9c1d8870d1e854ca55b385a84630a5a0","72.68.1",1,0,"x",2,0.75,0.85,0.85,6,5,18,FALSE,FALSE,137
